idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
6536,PE,2611606,RECIFE,San Martin,0,24/07/26 20:10,-,-,-,-,-,58.28,65.77,79.19,1,0
9035,PE,2611606,RECIFE,RECIFE - APAC,0,18/12/25 17:00,-,-,-,-,-,-,-,-,1,0
9849,PE,2611606,RECIFE,Brega e Chique,0,28/06/26 13:10,-,-,-,-,-,-,-,-,10,0
3006,PE,2611606,RECIFE,Dois Irmãos,0,24/07/26 19:10,-,-,-,-,-,0.2,11.43,11.63,1,0
9850,PE,2611606,RECIFE,Barreira,0,24/07/26 20:10,-,-,-,-,-,51.6,61.2,75.8,10,0
3257,PE,2611606,RECIFE,Imbiribeira,0,24/07/26 20:40,-,-,-,-,-,23.26,26.81,34.13,1,0
3253,PE,2611606,RECIFE,Nova Descoberta,0,24/07/26 20:20,-,-,-,-,-,81.9,100.04,118.29,1,0
3010,PE,2611606,RECIFE,Varzea,0,24/07/26 20:10,-,-,0.2,0.2,1.58,59.46,75.2,94.72,1,0
3256,PE,2611606,RECIFE,Corrego Jenipapo,0,09/06/26 06:50,-,-,-,-,-,-,-,-,1,0
13581,PE,2611606,RECIFE,UR12 - COHAB II,0,10/08/24 06:10,-,-,-,-,-,-,-,-,10,0
6535,PE,2611606,RECIFE,Torreão,0,24/07/26 21:00,-,-,-,0.2,0.2,45.7,55.55,65.78,1,0
6531,PE,2611606,RECIFE,Campina do Barreto,0,24/07/26 11:30,-,-,-,-,-,51.11,58.82,71.44,1,0
6846,PE,2611606,RECIFE,Porto,0,24/07/26 20:50,-,-,-,-,-,48.4,60,63.4,1,0
6529,PE,2611606,RECIFE,Guabiraba,0,24/07/26 20:20,-,-,-,-,-,86.58,102.33,120.84,1,0
3255,PE,2611606,RECIFE,Alto do Céu,0,17/06/26 07:40,-,-,-,-,-,-,-,-,1,0
6847,PE,2611606,RECIFE,Areias,0,24/07/26 20:40,-,-,-,-,-,56.4,63,80,1,0
3254,PE,2611606,RECIFE,Dois Unidos,0,08/07/26 20:20,-,-,-,-,-,-,-,-,1,0
3258,PE,2611606,RECIFE,Alto Mandu,0,24/07/26 20:20,-,-,-,-,-,59.25,73.64,88.06,1,0
9852,PE,2611606,RECIFE,Lagoa Encantada - COHAB,0,20/03/26 20:10,-,-,-,-,-,-,-,-,10,0
6532,PE,2611606,RECIFE,Ibura,1.18,23/07/26 18:30,-,-,-,-,-,47.32,58.57,81.22,1,0
14362,PE,2611606,RECIFE,COMPESA - Alto da Brasileira,0,25/09/24 06:10,-,-,-,-,-,-,-,-,10,0
14360,PE,2611606,RECIFE,COMPESA - Alto da Esperança,0,05/06/25 06:10,-,-,-,-,-,-,-,-,10,0
6534,PE,2611606,RECIFE,Pina,0,24/07/26 20:40,-,-,-,-,-,61.03,66.35,72.87,1,0
14365,PE,2611606,RECIFE,COMPAZ - Alto Sta. Terezinha,0,24/07/26 20:10,-,-,-,-,-,58,72.2,90.2,10,0
6530,PE,2611606,RECIFE,Morro da Conceição,0,24/07/26 20:10,-,-,-,0.2,0.2,52.43,64.45,80.32,1,0
